id,conversation_id,user_query,agent_reply,router agent response,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?",The speaker needs assurance that the battery of their EV is protected by the insurance policy.,0.21739130434782608
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.",The speaker is seeking more details about EV-specific insurance coverage.,0.1176470588235294
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.",The user is satisfied with the initial information and wants to proceed with getting a quote.,0.06779661016949153
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.",The user is satisfied with the price and wants to understand how to make a claim.,0.20833333333333334
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.",The speaker feels confident and is ready to move forward with the policy due to the reassurance they received.,0.2
7,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?",The speaker is clarifying the primary use of their motorcycle to help the agent determine the appropriate insurance coverage.,0.15789473684210525
8,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.",The speaker needs to know the specifics of the comprehensive insurance plan.,0.163265306122449
9,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.",The speaker is assessing additional benefits provided by the comprehensive plan.,0.04444444444444444
10,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.",The speaker wants to know the price of the insurance plan.,0.09302325581395349
11,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.",The user is satisfied with the price and wants to proceed with the insurance purchase by understanding the claim process.,0.07407407407407408
12,2,That sounds reasonable. I'm happy to pay $850 annually. Please tell me more about the claim process.,It is one of our most sought after policies because it offers excellent value for weekend riders,The agent is reassuring the customer by explaining how easy it is to make a claim.,0.12121212121212122
14,3,"Hi, I'm looking for a motor insurance policy for my bike. It's a 2022 Royal Enfield Classic 350.","Okay, a Royal Enfield Classic 350 is a great bike! Since you're a professional and likely value your time, would you prefer a policy with quick claim settlements or are you more focused on the lowest possible premium?",The user prioritizes quick claim settlements over a lower premium.,0.2448979591836735
15,3,I value my time. Quick claim settlement is important to me.,"I understand. As a professional, you're busy and don't want to be stuck dealing with lengthy claim processes. Bajaj Allianz emphasizes reliability and efficiency, offering extensive vehicle protection while ensuring that claims are settled quickly.",The speaker needs more information to evaluate if the policy meets their needs.,0.04
16,3,What does this policy typically cover?,"It provides Comprehensive Coverage, Liability Coverage, access to our Network Garages, and excellent Customer Support. This is one of our most popular plans—most of our clients go for it because it offers complete peace of mind for daily drivers",The user wants to know the cost of the policy to evaluate if it aligns with their budget and needs.,0.13333333333333333
17,3,Okay. What would be the premium for this policy?,"For a 2022 Royal Enfield Classic 350, the annual premium would be around $850. This includes quick claim settlements.",The user is interested in the offer and wants to confirm if paperless claim settlement is included.,0.2222222222222222
18,3,"That sounds good, can I get paperless claim settlement as part of the deal.","Yes, our policy includes paperless claim settlement, streamlining the claims process through digital submissions and verifications, reducing paperwork and expediting claim settlements in an environmentally friendly manner.",The speaker wants to review the policy details because they are potentially interested in it.,0.14285714285714285
