id,conversation_id,user_query,agent_reply,router agent response,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?","The user wants information about motor insurance for their new Tesla, and the agent is offering relevant options.",0.16666666666666669
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.","The user wants to find suitable motor insurance, especially for battery protection on their new Tesla, and is looking for reassurance.",0.16393442622950818
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.","The user wants to find comprehensive motor insurance for their EV, especially concerning battery protection, and the agent is trying to reassure them by highlighting policy benefits.",0.14285714285714285
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.","The user wants to obtain motor insurance for their EV, with a focus on battery protection, and is receptive to the agent's offer.",0.28571428571428575
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.",The user is gathering information about motor insurance for their EV and is likely deciding whether to purchase the offered policy.,0.19444444444444448
7,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?","The user wants to obtain bike insurance, and the agent is gathering information to provide relevant options.",0.16666666666666669
8,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.","The user wants information about insurance options for their bike, and the agent is tailoring a suitable plan based on their leisure riding habits.",0.19672131147540983
9,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.",The user wants to understand the details of a comprehensive insurance plan for their motorcycle.,0.0816326530612245
10,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.",The user is seeking information about bike insurance options and coverage details for their Royal Enfield Interceptor 650.,0.16
11,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.",The user wants to know the details and cost for a comprehensive insurance plan for their motorcycle.,0.19607843137254904
12,2,That sounds reasonable. I'm happy to pay $850 annually. Please tell me more about the claim process.,It is one of our most sought after policies because it offers excellent value for weekend riders,The user is satisfied with the insurance plan and price and is ready to move forward with the purchase pending information on the claim process.,0.04761904761904763
14,3,"Hi, I'm looking for a motor insurance policy for my bike. It's a 2022 Royal Enfield Classic 350.","Okay, a Royal Enfield Classic 350 is a great bike! Since you're a professional and likely value your time, would you prefer a policy with quick claim settlements or are you more focused on the lowest possible premium?","The user needs information about insurance options for their motorcycle, and the agent is attempting to offer suitable choices based on perceived needs.",0.12903225806451615
15,3,I value my time. Quick claim settlement is important to me.,"I understand. As a professional, you're busy and don't want to be stuck dealing with lengthy claim processes. Bajaj Allianz emphasizes reliability and efficiency, offering extensive vehicle protection while ensuring that claims are settled quickly.",The user wants a motor insurance policy that prioritizes quick claim settlements because they value their time as a professional.,0.2105263157894737
16,3,What does this policy typically cover?,"It provides Comprehensive Coverage, Liability Coverage, access to our Network Garages, and excellent Customer Support. This is one of our most popular plans—most of our clients go for it because it offers complete peace of mind for daily drivers","The user is seeking details about the policy coverage to determine if it meets their needs, especially regarding quick claim settlements.",0.1311475409836066
17,3,Okay. What would be the premium for this policy?,"For a 2022 Royal Enfield Classic 350, the annual premium would be around $850. This includes quick claim settlements.",The user needs information about a motor insurance policy with quick claim settlements for their bike and is evaluating coverage options and premium costs.,0.32558139534883723
18,3,"That sounds good, can I get paperless claim settlement as part of the deal.","Yes, our policy includes paperless claim settlement, streamlining the claims process through digital submissions and verifications, reducing paperwork and expediting claim settlements in an environmentally friendly manner.",The user intends to purchase a motor insurance policy that offers quick and paperless claim settlements for their Royal Enfield Classic 350.,0.24489795918367346
