conversation_id,turn_no,speaker,utterance,P-Strategy,keyword1,keyword2,keyword3,keyword4,keyword5
1,1,User,I have a 2021 Honda Amaze. What insurance would you recommend?,Logical,insurance,recommend,,,
1,2,Agent,Of course. HDFC ERGO offers comprehensive policies with additional benefits such as Roadside Assistance and Zero Depreciation.,Logical,policies,benefits,assistance,depreciation,
1,3,User,What does the comprehensive policy include and what's the premium?,Logical,policy,premium,include,,
1,4,Agent,"It includes own damage, third-party liability, theft, natural disasters, and more. The premium is approx $1176 per year, based on IDV.",Logical,damage,theft,disaster,premium,
1,5,User,Is there roadside assistance in the policy?,Logical,assistance,policy,roadside,,
1,6,Agent,"Yes, HDFC ERGO includes Roadside Assistance with services like towing, jump-start, flat tire help, and fuel delivery.",Logical,assistance,services,delivery,help,
1,7,User,Can I get add-ons like Zero Depreciation?,Logical,add-ons,depreciation,,,
1,8,Agent,"Yes, Zero Depreciation is a valuable add-on. It’ll cost an extra $145 yearly but maximizes your claim amount.",Logical,Depreciation,claim,cost,valuable,
1,9,User,Is the claim process easy?,Logical,process,easy,claim,,
1,10,Agent,HDFC ERGO has a hassle-free claim process with online tracking and a wide garage network for cashless repairs.,Logical,process,tracking,network,repairs,
1,11,User,I haven’t claimed before. Any benefit?,Logical,claimed,benefit,,,
6,12,Agent,"For your Jeep Wrangler, it's around $1200 per year. It's an investment in your adventures, knowing you're covered against the unexpected challenges of off-roading.",Emotional,investment,adventures,unexpected,challenges,
6,13,User,That's a bit steep. Are there any discounts?,Emotional,steep,discounts,,,
6,14,Agent,Let me check if you qualify for any off-road enthusiast or safe driver discounts. I want to make sure you can continue exploring without financial worries. Your passion deserves protection.,Emotional,worries,passion,protection,exploring,
7,2,Agent,I understand. Protecting your investment is crucial. I recommend Tata AIG General Insurance â€“ they understand the value of luxury vehicles.,Emotional,investment,protecting,crucial,value,
7,3,User,What makes them better than other insurers for a BMW?,Emotional,better,fear,insurance,better,
7,4,Agent,"They combine thorough coverage with rapid claims resolution. If something happens, they ensure your car is back to its original condition quickly, minimizing depreciation concerns.",Emotional,coverage,rapid,concerns,ensures,
7,5,User,What if the car is totaled? I'm worried about losing a lot of money.,Emotional,totaled,worried,losing,money,
7,6,Agent,"They offer Insured Declared Value (IDV) coverage, so you get the original invoice value in case of total loss. You can replace your BMW without a significant financial hit. We recognize your car is more than just a vehicle, its an asset.",Emotional,loss,value,hit,asset,
7,7,User,What about the high-tech features? I'm worried about finding mechanics who can fix them.,Emotional,worried,features,high-tech,mechanics,
7,8,Agent,"They have a network of authorized service centers with technicians trained to handle BMW's sophisticated technology. You can trust your car is in capable hands, ensuring quality repairs.",Emotional,trust,capable,repairs,hands,
7,9,User,And if I'm in an accident and need a rental car?,Emotional,accident,rental,need,fear,
7,10,Agent,"They provide rental car coverage, so you're not inconvenienced while your BMW is being repaired. You maintain your lifestyle without disruption during a difficult time.",Emotional,inconvenienced,disruption,difficult,lifestyle,
7,11,User,"Okay, this sounds pretty good. How much is the premium?",Emotional,good,premium,,,
